Date,CPI_MoM
01/02/1913,0.0
01/03/1913,0.0
01/04/1913,0.0
01/05/1913,-0.010204081632653206
01/06/1913,0.010309278350515611
01/07/1913,0.010204081632653024
01/08/1913,0.0
01/09/1913,0.010101010101010065
01/10/1913,0.0
01/11/1913,0.009999999999999964
01/12/1913,-0.009900990099009866
01/01/1914,0.0
01/02/1914,-0.009999999999999964
01/03/1914,0.0
01/04/1914,-0.010101010101010065
01/05/1914,0.010204081632653024
01/06/1914,0.0
01/07/1914,0.010101010101010065
01/08/1914,0.019999999999999928
01/09/1914,0.0
01/10/1914,-0.009803921568627416
01/11/1914,0.009900990099009866
01/12/1914,-0.009803921568627416
01/01/1915,0.0
01/02/1915,-0.009900990099009866
01/03/1915,-0.009999999999999964
01/04/1915,0.010101010101010065
01/05/1915,0.009999999999999964
01/06/1915,0.0
01/07/1915,0.0
01/08/1915,0.0
01/09/1915,0.0
01/10/1915,0.009900990099009866
01/11/1915,0.009803921568627591
01/12/1915,0.0
01/01/1916,0.009708737864077634
01/02/1916,0.0
01/03/1916,0.009615384615384581
01/04/1916,0.00952380952380949
01/05/1916,0.00943396226415091
01/06/1916,0.009345794392523497
01/07/1916,0.0
01/08/1916,0.009259259259259226
01/09/1916,0.018348623853210944
01/10/1916,0.018018018018018115
01/11/1916,0.017699115044247725
01/12/1916,0.008695652173913012
01/01/1917,0.008620689655172384
01/02/1917,0.025641025641025703
01/03/1917,0.0
01/04/1917,0.04999999999999997
01/05/1917,0.01587301587301596
01/06/1917,0.015624999999999944
01/07/1917,-0.01538461538461533
01/08/1917,0.015624999999999944
01/09/1917,0.02307692307692313
01/10/1917,0.015037593984962351
01/11/1917,0.0
01/12/1917,0.014814814814814762
01/01/1918,0.021897810218978155
01/02/1918,0.0071428571428571175
01/03/1918,-0.007092198581560258
01/04/1918,0.014285714285714235
01/05/1918,0.021126760563380333
01/06/1918,0.013793103448275813
01/07/1918,0.027210884353741523
01/08/1918,0.019867549668874218
01/09/1918,0.01948051948051941
01/10/1918,0.019108280254777118
01/11/1918,0.018750000000000044
01/12/1918,0.012269938650306704
01/01/1919,0.0
01/02/1919,-0.018181818181818226
01/03/1919,0.012345679012345635
01/04/1919,0.018292682926829312
01/05/1919,0.011976047904191574
01/06/1919,0.0
01/07/1919,0.02958579881656805
01/08/1919,0.01724137931034487
01/09/1919,0.005649717514124374
01/10/1919,0.0168539325842697
01/11/1919,0.022099447513812074
01/12/1919,0.021621621621621546
01/01/1920,0.021164021164021277
01/02/1920,0.010362694300518097
01/03/1920,0.01025641025641022
01/04/1920,0.030456852791878247
01/05/1920,0.014778325123152743
01/06/1920,0.014563106796116367
01/07/1920,-0.004784688995215209
01/08/1920,-0.024038461538461536
01/09/1920,-0.014778325123152743
01/10/1920,-0.005000000000000071
01/11/1920,-0.005025125628140597
01/12/1920,-0.020202020202020308
01/01/1921,-0.020618556701030855
01/02/1921,-0.03157894736842113
01/03/1921,-0.005434782608695537
01/04/1921,-0.01092896174863384
01/05/1921,-0.022099447513812272
01/06/1921,-0.005649717514124173
01/07/1921,0.0056818181818180605
01/08/1921,0.0
01/09/1921,-0.011299435028248548
01/10/1921,0.0
01/11/1921,-0.005714285714285796
01/12/1921,-0.005747126436781487
01/01/1922,-0.023121387283237118
01/02/1922,0.0
01/03/1922,-0.011834319526627177
01/04/1922,0.0
01/05/1922,0.0
01/06/1922,0.0
01/07/1922,0.005988023952095894
01/08/1922,-0.011904761904761862
01/09/1922,0.0
01/10/1922,0.00602409638554204
01/11/1922,0.005988023952095894
01/12/1922,0.005952380952380825
01/01/1923,-0.0059171597633134836
01/02/1923,0.0
