ticker
GGAL.BA
YPFD.BA
PAMP.BA
TXAR.BA
ALUA.BA
CRES.BA
SUPV.BA
CEPU.BA
BMA.BA
TGSU2.BA
TRAN.BA
EDN.BA
LOMA.BA
MIRG.BA
DGCU2.BA
BBAR.BA
MOLI.BA
TGNO4.BA
CGPA2.BA
COME.BA
IRSA.BA
TECO2.BA
METR.BA
CECO2.BA
BHIP.BA
LEDE.BA
CVH.BA
HAVA.BA
AUSO.BA
VALO.BA
SEMI.BA
INVJ.BA
CTIO.BA
MORI.BA
HARG.BA
GCLA.BA
SAMI.BA
BOLT.BA
MOLA.BA
CAPX.BA
OEST.BA
LONG.BA
GCDI.BA
GBAN.BA
CELU.BA
FERR.BA
PATA.BA
CARC.BA
BPAT.BA
