ticker
PKX
WB
TEF
TMUS
PINS
SPCE
MSTR
HL
BKNG
HMY
ABEV
ACN
AEM
TWLO
BSBR
VIST
BRFS
AIG
PAAS
XYZ
ABNB
KGC
BBD
MRVL
BP
X
MUX
TX
TSLA
SPGI
DOCU
EA
ADI
GFI
JOYY
NEM
DOW
AMX
LAC
ARCO
ARKK
JNJ
SHOP
GE
COST
GILD
QCOM
RIO
TXN
ERIC
NIO
TSM
SNOW
AMAT
MA
FDX
ROKU
ROKU
VALE
BCS
META
UL
COIN
OXY
JPM
NOK
GS
MMM
MELI
HWM
PEP
MU
HMC
CAAP
XOM
ADBE
TRIP
DIA
BAC
PLTR
NGD
QQQ
GM
ETSY
LVS
NFLX
ORCL
WMT
SHEL
DIS
CDE
UAL
XLE
HPQ
EEM
DD
ABBV
RTX
BBVA
BIIB
AXP
NU
DEO
MOS
BABA
GLOB
SPOT
AMD
BMY
SPY
NXE
MO
RBLX
RIOT
C
BHP
SLB
SBUX
PYPL
NKE
AAL
USB
CRM
GPRK
HON
V
NVDA
KO
BRKB
ZM
ABT
AAPL
AVGO
CVX
INTC
VZ
SYY
XLF
IWM
F
T
BITF
KMB
BA
UGP
UNH
CSCO
CAT
HAL
GOOGL
MRK
BG
DAL
DAL
UBER
AAP
CAH
WBA
MSI
MSFT
TGT
INFY
GGB
ERJ
HSY
HD
PHG
IBN
FCX
AEG
AZN
WFC
BKR
EWZ
MCD
GSK
LMT
TM
EBAY
FSLR
IBM
CL
VOD
PANW
JD
PSX
LLY
BIOX
BK
SDA
PFE
SAN
AMZN
UNP
SONY
PAGS
GLW
BIDU
CCL
CCL
RACE
RACE
ITUB
PG
NTES
AMGN
LRCX
STNE
PBR
CAR
UPST
TV
BB
LYG
DE
LAR
HUT
MRNA
MRNA
ADP
STLA
STLA
IP
SE
MDLZ
MDLZ
CVS
CVS
SATL
SID
ISRG
EQNR
JMIA
GT
TS
PM
SCHW
SWKS
PM
SCHW
SWKS
ARM
DHR
ORLY
TJX
AGRO
SHPW
XP
NTCO
CBRD
IBIT
FXI
ETHA
GLD
SH
IEUR
IBB
VEA
IVE
IVW
XLC
XLY
XLB
XLI
XLK
XLV
XLP
XLRE
BAK
LND
TIMB
VIV
SUZ
ELP
SBS
EBR
ASML
TEAM
AI
CLS
CEG
DECK
RGTI
PDD
NOW
TEM
PATH
VRTX
VST
XPEV
PSQ
VIG
SLV
IJH
EWJ
ANF
XLU
SPXL
URA
CIBR
SMH
USO
EFA
IEMG
ACWI
GDX
TQQQ
VXX
ITA
B
SPHQ
HOOD
CRWV
OKLO
RKLB
ALAB
ASTS
IREN
ECL
BBAR
BMA
CEPU
CRESY
EDN
GGAL
IRS
LOMA
PAM
SUPV
TEO
TGS
YPF
